Text,Sentiment,Text_Clean,Text_Stemmed,Text_Lemmatized
" Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ", Nostalgia       ,stumbling upon old journal nostalgia flooding waves carrying moments long gone,stumbl upon old journal nostalgia flood wave carri moment long gone,stumble upon old journal nostalgia flood wave carry moment long go
" A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ", Ambivalence     ,tapestry conflicting feelings weaving uncertainty caught threads ambivalence,tapestri conflict feel weav uncertainti caught thread ambival,tapestry conflict feeling weave uncertainty catch thread ambivalence
" Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ", Acceptance      ,embracing flaws finding acceptance imperfection journey towards self love,embrac flaw find accept imperfect journey toward self love,embrace flaw find acceptance imperfection journey towards self love
" Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ", Determination   ,determination burning like wildfire overcoming obstacles turning dreams reality,determin burn like wildfir overcom obstacl turn dream realiti,determination burn like wildfire overcome obstacle turn dream reality
" Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ", Serenity        ,tranquil moments ocean serenity washing peaceful retreat within waves embrace,tranquil moment ocean seren wash peac retreat within wave embrac,tranquil moment ocean serenity wash peaceful retreat within wave embrace
" Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ", Curiosity       ,exploring new horizons spark curiosity adventurer vast landscape knowledge,explor new horizon spark curios adventur vast landscap knowledg,explore new horizon spark curiosity adventurer vast landscape knowledge
" Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ", Indifference    ,drifting day nonchalant demeanor embracing art indifference,drift day nonchal demeanor embrac art indiffer,drift day nonchalant demeanor embrace art indifference
" Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ", Confusion       ,wrestling thoughts perplexed mind lost labyrinth life complexities,wrestl thought perplex mind lost labyrinth life complex,wrestle thought perplex mind lose labyrinth life complexity
" Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ", Numbness        ,immersed state emotional numbness shield storm daily struggles,immers state emot numb shield storm daili struggl,immersed state emotional numbness shield storm daily struggle
" A melancholic symphony playing in the background, the soundtrack of a wistful heart. ", Melancholy      ,melancholic symphony playing background soundtrack wistful heart,melanchol symphoni play background soundtrack wist heart,melancholic symphony play background soundtrack wistful heart
" Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ", Nostalgia       ,flipping pages old yearbook nostalgia painting smiles tears face,flip page old yearbook nostalgia paint smile tear face,flip page old yearbook nostalgia paint smile tear face
" Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ", Ambivalence     ,torn opposing emotions ambivalence colors decisions shades uncertainty,torn oppos emot ambival color decis shade uncertainti,torn oppose emotion ambivalence color decision shade uncertainty
" Embracing life's imperfections, finding acceptance in the journey, scars and all. ", Acceptance      ,embracing life imperfections finding acceptance journey scars,embrac life imperfect find accept journey scar,embrace life imperfection find acceptance journey scar
" A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ", Determination   ,fiery determination burning within fueled vision reaching unparalleled heights,fieri determin burn within fuel vision reach unparallel height,fiery determination burn within fuel vision reach unparalleled height
" Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ", Serenity        ,basking serenity quiet forest whispers nature bring peace soul,bask seren quiet forest whisper natur bring peac soul,bask serenity quiet forest whisper nature bring peace soul
" Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ", Indifference    ,indifferent noise world silent observer midst life cacophony,indiffer nois world silent observ midst life cacophoni,indifferent noise world silent observer midst life cacophony
" Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ", Confusion       ,navigating labyrinth thoughts confusion constant companion maze ideas,navig labyrinth thought confus constant companion maze idea,navigate labyrinth thought confusion constant companion maze idea
" An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ", Numbness        ,impenetrable numbness shields emotional storms fortress stoic resilience,impenetr numb shield emot storm fortress stoic resili,impenetrable numbness shield emotional storm fortress stoic resilience
" Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ", Melancholy      ,melancholy painting world hues nostalgia canvas bittersweet memories,melancholi paint world hue nostalgia canva bittersweet memori,melancholy paint world hue nostalgia canvas bittersweet memory
" A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ", Nostalgia       ,journey past flipping pages old diary nostalgia taking lead,journey past flip page old diari nostalgia take lead,journey past flipping page old diary nostalgia take lead
" Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ", Ambivalence     ,ambivalence clouding decisions caught crossroads conflicting emotions,ambival cloud decis caught crossroad conflict emot,ambivalence cloud decision catch crossroad conflict emotion
